embryo_id,time_idx,cell_name,x_um,y_um,z_um,nuclear_diameter_um,valid,n_cells_frame,source_file,canonical_time
OOS_SPIMA_P4,21,C,32.8149,20.4687,25.5,4.007099999999999,1,12,t021-nuclei,36.0
OOS_SPIMA_P4,21,P3,39.9627,13.1043,23.25,3.3573,1,12,t021-nuclei,36.0
OOS_SPIMA_P4,21,ABara,19.1691,18.0861,18.0,2.7075,1,12,t021-nuclei,36.0
OOS_SPIMA_P4,21,ABarp,22.2015,21.7683,20.25,2.4909,1,12,t021-nuclei,36.0
OOS_SPIMA_P4,21,ABalp,13.8624,10.3968,21.75,2.0577,1,12,t021-nuclei,36.0
OOS_SPIMA_P4,21,MS,23.1762,9.6387,18.0,4.4403,1,12,t021-nuclei,36.0
OOS_SPIMA_P4,21,E,32.8149,10.83,23.25,4.007099999999999,1,12,t021-nuclei,36.0
OOS_SPIMA_P4,21,ABpla,21.0102,17.7612,27.0,2.2743,1,12,t021-nuclei,36.0
OOS_SPIMA_P4,21,ABpra,27.8331,16.136699999999998,13.5,2.4909,1,12,t021-nuclei,36.0
OOS_SPIMA_P4,21,ABprp,31.5153,13.7541,15.75,2.7075,1,12,t021-nuclei,36.0
OOS_SPIMA_P4,22,ABplp,24.909,15.0537,27.0,2.9240999999999997,1,12,t022-nuclei,36.0
OOS_SPIMA_P4,22,ABala,11.2632,14.403899999999998,21.75,2.7075,1,12,t022-nuclei,36.0
OOS_SPIMA_P4,22,C,32.9232,20.4687,25.5,4.007099999999999,1,12,t022-nuclei,36.0
OOS_SPIMA_P4,22,P3,39.7461,12.996,22.5,3.5738999999999996,1,12,t022-nuclei,36.0
OOS_SPIMA_P4,22,ABara,18.411,17.7612,17.25,2.9240999999999997,1,12,t022-nuclei,36.0
OOS_SPIMA_P4,22,ABarp,22.0932,21.5517,21.0,3.1407,1,12,t022-nuclei,36.0
OOS_SPIMA_P4,22,ABalp,14.5122,10.7217,21.75,2.7075,1,12,t022-nuclei,36.0
OOS_SPIMA_P4,22,MS,23.609399999999997,9.8553,18.0,4.656899999999999,1,12,t022-nuclei,36.0
